english,120,Freshman Seminar,"b'nments, students develop skills in the close reading of literary texts and  learn to express their interpretive ideas in correct and persuasive prose.  Satisfies CAS WR 120 requirement. This course fulfills a single unit in the  following BU Hub area: First-Year Writing Seminar.'"
english,121,Reading World Literature,"b'-- outside of British and American traditions. Attention to  such topics as cultural self-construction, relationships of historical context  to artistic expression, and development of literary forms. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Aesthetic Exploration, Global Citizenship and  Intercultural Literacy, Research and Information Literacy.'"
english,122,Medieval Worlds,"b""d on TV? Medieval literature and its afterlives. Topics may include Arthurian  romance, otherworld visions, monsters and heroes, women's lives and writing,  modern medievalism. Carries humanities divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Historical Consciousness, Teamwork/Collaboration."""
english,125,Reading Modern Literature,"b'rature. Readings in poetry, drama and fiction from varying traditions,  designed to motivate an interest in some of the most engaging, and challenging,  works of our time. Topics vary by instructor. Carries humanities divisional  credit in CAS. This course fulfills a single unit in each of the following BU  Hub areas: Aesthetic Exploration, Writing-intensive Course.'"
english,126,Jewish Literature,"b'as well as  geographical place define Jewish family and community? Topics include  immigration, diaspora, and national culture; patriotism, antisemitism, and  multiculturalism; Jewish identities and gender; conversion, assimilation, and  acculturation. This course fulfills a single unit in each of the following BU  Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural  Literacy, Writing-intensive Course.'"
english,127,Reading American Literature,"b'om  the colonial period to the present. Attention to a wide range of literary works  and historical and cultural contexts. Carries humanities divisional credit in  CAS. This course fulfills a single unit in each of the following BU Hub areas:  Aesthetic Exploration, Writing-intensive Course.'"
english,128,Representing Boston,"b'rn crime fiction. Readings by Winthrop, Wheatley, Hawthorne, Alcott, King, Malcolm X, Lowell, and Lehane; required fieldwork in graveyards, war memorials, the MFA, and Fenway Park. Carries humanities divisional credit in CAS.'"
english,129,Introduction to African American Literature,"b'to the cultural, political, and historical  contexts of the African American experience through readings of literature. We  will read poetry, slave narratives, essays and speeches, tales, short stories,  and novels, and as we examine these texts, we will consider how culture,  politics, and history shape African American literature. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Aesthetic Exploration, Global Citizenship and  Intercultural Literacy.'"
english,130,Science/Fiction,"b'tion of some  of the following topics: science and technology as literary themes; historical  construction of science and art; similarities and differences between literary  and scientific methods; the development of science fiction. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Aesthetic Exploration, Ethical Reasoning, Writing- intensive Course.'"
english,141,Introduction to Fiction,"b'genres, and traditions, ranging from canonical masterpieces to unheralded literary gems, aimed  to cultivate an appetite for the pleasures, and rigors, of narrative art. Topics vary by instructor.  This course cannot be taken for credit in addition to the course with the same number that was  previously titled ""Literary Types: Fiction."" Carries humanities divisional credit in CAS. This   course fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Ethical  Reasoning.'"
english,142,Introduction to Poetry,"b'etry. Focus on poetic form, genre, and style, with explorations of  cultural and aesthetic contexts. Particular emphasis on close, careful reading  and discussion. Topics vary by instructor. This course cannot be taken for  credit in addition to the course with the same number that was previously  titled ""Literary Types: Poetry."" Carries humanities divisional credit in CAS.  This course fulfills a single unit in each of the following BU Hub areas:  Aesthetic Exploration, Oral and/or Signed Communication.'"
english,150,"Children's Literature: Fairy Tales, Fantasy, and Imaginary Spaces","b'Literature (1860- -1920); fantasy; genre and adaptation. Authors include Grimms, Bronte, Lewis  Carroll, Tolkien, Le Guin, Pullman, Sendak. Carries humanities divisional  credit in CAS. This course fulfills a single unit in each of the following BU  Hub areas: Aesthetic Exploration, Creativity/Innovation.'"
english,155,"The Myth of the Family in Classical American Literature, Film, and Television","b""on, and Junot   Diaz; films such as The Godfather and Boys Don't Cry; serial television such as   Breaking Bad and The Wire. Carries humanities divisional credit in CAS. This   course fulfills a single unit in each of the following BU Hub areas: Aesthetic   Exploration, Social Inquiry I."""
english,163,Reading Shakespeare,"b's. Possible attention to such topics as literary sources, early  modern stagecraft, performance history, and contemporary film adaptation. This  course fulfills a single unit in the following BU Hub area(s): Aesthetic  Exploration, Historical Consciousness, Critical Thinking.'"
english,164,Reading Shakespeare,b'ting in English. CAS EN 163 not prerequisite for EN 164. Carries humanities divisional credit in CAS.'
english,170,The Graphic Novel,"b'novel. Topics include graphic vs. traditional novel, word and image,  style and space, representations of subjectivity, trauma, and history. Authors  may include Spiegelman, Bechdel, Nakazawa, Sacco, Satrapi, Backderf. This  course fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Digital/Multimedia Expression, Creativity/Innovation.'"
english,175,Literature and the Art of Film,"b'e screened weekly and in conjunction with works of literature.  Students must register for screening, discussion, and lecture. Also offered as  CAS CI 201 and COM CI 201. 4 cr. either sem. Carries humanities divisional  credit in CAS. This course fulfills a single unit in each of the following BU  Hub areas: Aesthetic Exploration, Digital/Multimedia Expression.'"
english,177,Introduction to Asian-American Literature,"b'questions of identity, immigration, national belonging,  diaspora, war, and global capitalism. Authors include John Okada, Maxine Hong  Kingston, Chang-Rae Lee, Jhumpa Lahiri, Monique Truong, and Ha Jin. Carries  humanities divisional credit in CAS. This course fulfills a single unit in each  of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and  Intercultural Literacy, Writing-intensive Course.'"
english,180,Post-Apocalyptic Narratives,"b'saster? What fascinates us about dystopia? Stories, novels,  graphic novels, film, and television all examined to explore questions of  narrative, interpretation, genre, politics, ""high"" vs. ""popular"" culture. This  course fulfills a single unit in each of the following BU Hub areas: Aesthetic  Exploration, Ethical Reasoning.'"
english,195,Literature and Ideas,"b""l beliefs? Readings may include novels, epics, dialogues, sermons,  theoretical treatises, and poetry, all engaging with broad questions about  meaning, selfhood, divinity, politics, community, value. Carries humanities  divisional credit in CAS. This course fulfills a single unit in each of the  following BU Hub areas: Aesthetic Exploration, Philosophical Inquiry and Life's  Meanings, Critical Thinking."""
